outcome_number,outcome,variable,items,example_item,scale,scale_min,scale_max,scale_range,pp_to_original_multiplier,prompt_description,source_url
1,Multidimensional trust (primary),trust_multidimensional,12,"How incompetent or competent are most climate scientists? (four subscales: competence, integrity, benevolence, openness; three items each)",0–100,0,100,100,1.0,"Multidimensional trust (primary): mean of 12 items. Example item: How incompetent or competent are most climate scientists? (four subscales: competence, integrity, benevolence, openness; three items each). Scale: 0–100.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
2,Single-item trust,trust_post,1,How much do you trust climate scientists?,0–100,0,100,100,1.0,Single-item trust: How much do you trust climate scientists? Scale: 0–100.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
3,Distrust,distrust_post,1,How much do you distrust climate scientists?,0–100,0,100,100,1.0,Distrust: How much do you distrust climate scientists? Scale: 0–100.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
4,Funding perceptions,funding_perceptions,1,"Do you think the federal government is spending too much, too little or about the right amount of money on climate change research? (reverse-coded: higher = supports more funding)",0–100,0,100,100,1.0,"Funding perceptions: Do you think the federal government is spending too much, too little or about the right amount of money on climate change research? (reverse-coded: higher = supports more funding) Scale: 0–100.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
5,Policy role,policy_role_mean,4,Climate scientists should work closely with policy makers to integrate scientific results into policy-making.,0–100,0,100,100,1.0,Policy role: mean of 4 items. Example item: Climate scientists should work closely with policy makers to integrate scientific results into policy-making.. Scale: 0–100.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
6,Institutional trust,inst_trust_mean,5,How much do you trust the following institutions? — Environmental Protection Agency (EPA),0–100,0,100,100,1.0,Institutional trust: mean of 5 items. Example item: How much do you trust the following institutions? — Environmental Protection Agency (EPA). Scale: 0–100.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
7,Climate belief,belief_post,1,"How accurate do you think this statement is? ""Human activities are causing climate change.""",0–100,0,100,100,1.0,"Climate belief: How accurate do you think this statement is? ""Human activities are causing climate change."" Scale: 0–100.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
8,Climate concern,concern_mean,3,How concerned are you about climate change?,0–100,0,100,100,1.0,Climate concern: mean of 3 items. Example item: How concerned are you about climate change?. Scale: 0–100.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
9,General climate policy,policy_general,1,"How much do you oppose or support: ""The U.S. government should do more to reduce global warming""",0–100,0,100,100,1.0,"General climate policy: How much do you oppose or support: ""The U.S. government should do more to reduce global warming"" Scale: 0–100.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
10,Specific climate policy,policy_specific_mean,7,"How much do you support or oppose: Raising taxes on fossil fuels (e.g., gas, oil, coal)",0–100,0,100,100,1.0,"Specific climate policy: mean of 7 items. Example item: How much do you support or oppose: Raising taxes on fossil fuels (e.g., gas, oil, coal). Scale: 0–100.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
11,Pro-climate behavior,behavior_mean,6,How likely are you to engage in the following in the next 12 months? — Eat less meat,0–100,0,100,100,1.0,Pro-climate behavior: mean of 6 items. Example item: How likely are you to engage in the following in the next 12 months? — Eat less meat. Scale: 0–100.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
12,Donation to AMS,donation_ams,1,"Of the $10 bonus, how much would you like to donate to the American Meteorological Society (AMS)?",$0–10,0,10,10,0.1,"Donation to AMS: Of the $10 bonus, how much would you like to donate to the American Meteorological Society (AMS)? Scale: $0–10.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
13,Newsletter signup,newsletter_signup,1,"Subscription to the ""Talking Climate"" newsletter, offered on an earlier survey page (recorded yes/no).",0 / 1,0,1,1,0.01,"Newsletter signup: Subscription to the ""Talking Climate"" newsletter, offered on an earlier survey page (recorded yes/no). Scale: 0 / 1.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
