"custom_id","condition_number","condition","outcome_number","outcome","trial","prompt"
"c01_o01_t01",1,"Interview Prof. Maraun",1,"trust_multidimensional",1,"You are asked to predict the results of a real experiment involving two conditions described below. Provide your best estimate of the exact average treatment effect of Condition 2 relative to Condition 1 on the dependent variable, expressed in percentage points of the dependent variable's full scale range. You must provide exactly one signed numeric value, with no range or uncertainty. A positive value means that Condition 2 produces a higher score than Condition 1, and a negative value means that Condition 2 produces a lower score. Return the estimate in the JSON field ate_pp and provide no other information.

Condition 1: Participants read one of three randomly assigned neutral, off-topic texts about the history of neckties, the rules of baseball, or different types of dance.

Condition 2: Climate scientist Prof. Douglas Maraun at the University of Graz in Austria stresses the collaborative and self-correcting process of climate science.

Sample: Participants are recruited from a non-probability opt-in panel, quota-matched on age, gender, and race/ethnicity to the population of U.S. residents aged 18 or older, and pass a series of attention and bot-detection checks before treatment assignment.

Dependent Variable: Multidimensional trust (primary): mean of 12 items. Example item: How incompetent or competent are most climate scientists? (four subscales: competence, integrity, benevolence, openness; three items each). Scale: 0–100."
"c01_o01_t02",1,"Interview Prof. Maraun",1,"trust_multidimensional",2,"You are asked to predict the results of a real experiment involving two conditions described below. Provide your best estimate of the exact average treatment effect of Condition 2 relative to Condition 1 on the dependent variable, expressed in percentage points of the dependent variable's full scale range. You must provide exactly one signed numeric value, with no range or uncertainty. A positive value means that Condition 2 produces a higher score than Condition 1, and a negative value means that Condition 2 produces a lower score. Return the estimate in the JSON field ate_pp and provide no other information.

Condition 1: Participants read one of three randomly assigned neutral, off-topic texts about the history of neckties, the rules of baseball, or different types of dance.

Condition 2: Climate scientist Prof. Douglas Maraun at the University of Graz in Austria stresses the collaborative and self-correcting process of climate science.

Sample: Participants are recruited from a non-probability opt-in panel, quota-matched on age, gender, and race/ethnicity to the population of U.S. residents aged 18 or older, and pass a series of attention and bot-detection checks before treatment assignment.

Dependent Variable: Multidimensional trust (primary): mean of 12 items. Example item: How incompetent or competent are most climate scientists? (four subscales: competence, integrity, benevolence, openness; three items each). Scale: 0–100."
"c01_o01_t03",1,"Interview Prof. Maraun",1,"trust_multidimensional",3,"You are asked to predict the results of a real experiment involving two conditions described below. Provide your best estimate of the exact average treatment effect of Condition 2 relative to Condition 1 on the dependent variable, expressed in percentage points of the dependent variable's full scale range. You must provide exactly one signed numeric value, with no range or uncertainty. A positive value means that Condition 2 produces a higher score than Condition 1, and a negative value means that Condition 2 produces a lower score. Return the estimate in the JSON field ate_pp and provide no other information.

Condition 1: Participants read one of three randomly assigned neutral, off-topic texts about the history of neckties, the rules of baseball, or different types of dance.

Condition 2: Climate scientist Prof. Douglas Maraun at the University of Graz in Austria stresses the collaborative and self-correcting process of climate science.

Sample: Participants are recruited from a non-probability opt-in panel, quota-matched on age, gender, and race/ethnicity to the population of U.S. residents aged 18 or older, and pass a series of attention and bot-detection checks before treatment assignment.

Dependent Variable: Multidimensional trust (primary): mean of 12 items. Example item: How incompetent or competent are most climate scientists? (four subscales: competence, integrity, benevolence, openness; three items each). Scale: 0–100."
"c01_o01_t04",1,"Interview Prof. Maraun",1,"trust_multidimensional",4,"You are asked to predict the results of a real experiment involving two conditions described below. Provide your best estimate of the exact average treatment effect of Condition 2 relative to Condition 1 on the dependent variable, expressed in percentage points of the dependent variable's full scale range. You must provide exactly one signed numeric value, with no range or uncertainty. A positive value means that Condition 2 produces a higher score than Condition 1, and a negative value means that Condition 2 produces a lower score. Return the estimate in the JSON field ate_pp and provide no other information.

Condition 1: Participants read one of three randomly assigned neutral, off-topic texts about the history of neckties, the rules of baseball, or different types of dance.

Condition 2: Climate scientist Prof. Douglas Maraun at the University of Graz in Austria stresses the collaborative and self-correcting process of climate science.

Sample: Participants are recruited from a non-probability opt-in panel, quota-matched on age, gender, and race/ethnicity to the population of U.S. residents aged 18 or older, and pass a series of attention and bot-detection checks before treatment assignment.

Dependent Variable: Multidimensional trust (primary): mean of 12 items. Example item: How incompetent or competent are most climate scientists? (four subscales: competence, integrity, benevolence, openness; three items each). Scale: 0–100."
"c01_o01_t05",1,"Interview Prof. Maraun",1,"trust_multidimensional",5,"You are asked to predict the results of a real experiment involving two conditions described below. Provide your best estimate of the exact average treatment effect of Condition 2 relative to Condition 1 on the dependent variable, expressed in percentage points of the dependent variable's full scale range. You must provide exactly one signed numeric value, with no range or uncertainty. A positive value means that Condition 2 produces a higher score than Condition 1, and a negative value means that Condition 2 produces a lower score. Return the estimate in the JSON field ate_pp and provide no other information.

Condition 1: Participants read one of three randomly assigned neutral, off-topic texts about the history of neckties, the rules of baseball, or different types of dance.

Condition 2: Climate scientist Prof. Douglas Maraun at the University of Graz in Austria stresses the collaborative and self-correcting process of climate science.

Sample: Participants are recruited from a non-probability opt-in panel, quota-matched on age, gender, and race/ethnicity to the population of U.S. residents aged 18 or older, and pass a series of attention and bot-detection checks before treatment assignment.

Dependent Variable: Multidimensional trust (primary): mean of 12 items. Example item: How incompetent or competent are most climate scientists? (four subscales: competence, integrity, benevolence, openness; three items each). Scale: 0–100."
"c01_o02_t01",1,"Interview Prof. Maraun",2,"trust_post",1,"You are asked to predict the results of a real experiment involving two conditions described below. Provide your best estimate of the exact average treatment effect of Condition 2 relative to Condition 1 on the dependent variable, expressed in percentage points of the dependent variable's full scale range. You must provide exactly one signed numeric value, with no range or uncertainty. A positive value means that Condition 2 produces a higher score than Condition 1, and a negative value means that Condition 2 produces a lower score. Return the estimate in the JSON field ate_pp and provide no other information.

Condition 1: Participants read one of three randomly assigned neutral, off-topic texts about the history of neckties, the rules of baseball, or different types of dance.

Condition 2: Climate scientist Prof. Douglas Maraun at the University of Graz in Austria stresses the collaborative and self-correcting process of climate science.

Sample: Participants are recruited from a non-probability opt-in panel, quota-matched on age, gender, and race/ethnicity to the population of U.S. residents aged 18 or older, and pass a series of attention and bot-detection checks before treatment assignment.

Dependent Variable: Single-item trust: How much do you trust climate scientists? Scale: 0–100."
"c01_o02_t02",1,"Interview Prof. Maraun",2,"trust_post",2,"You are asked to predict the results of a real experiment involving two conditions described below. Provide your best estimate of the exact average treatment effect of Condition 2 relative to Condition 1 on the dependent variable, expressed in percentage points of the dependent variable's full scale range. You must provide exactly one signed numeric value, with no range or uncertainty. A positive value means that Condition 2 produces a higher score than Condition 1, and a negative value means that Condition 2 produces a lower score. Return the estimate in the JSON field ate_pp and provide no other information.

Condition 1: Participants read one of three randomly assigned neutral, off-topic texts about the history of neckties, the rules of baseball, or different types of dance.

Condition 2: Climate scientist Prof. Douglas Maraun at the University of Graz in Austria stresses the collaborative and self-correcting process of climate science.

Sample: Participants are recruited from a non-probability opt-in panel, quota-matched on age, gender, and race/ethnicity to the population of U.S. residents aged 18 or older, and pass a series of attention and bot-detection checks before treatment assignment.

Dependent Variable: Single-item trust: How much do you trust climate scientists? Scale: 0–100."
"c01_o02_t03",1,"Interview Prof. Maraun",2,"trust_post",3,"You are asked to predict the results of a real experiment involving two conditions described below. Provide your best estimate of the exact average treatment effect of Condition 2 relative to Condition 1 on the dependent variable, expressed in percentage points of the dependent variable's full scale range. You must provide exactly one signed numeric value, with no range or uncertainty. A positive value means that Condition 2 produces a higher score than Condition 1, and a negative value means that Condition 2 produces a lower score. Return the estimate in the JSON field ate_pp and provide no other information.

Condition 1: Participants read one of three randomly assigned neutral, off-topic texts about the history of neckties, the rules of baseball, or different types of dance.

Condition 2: Climate scientist Prof. Douglas Maraun at the University of Graz in Austria stresses the collaborative and self-correcting process of climate science.

Sample: Participants are recruited from a non-probability opt-in panel, quota-matched on age, gender, and race/ethnicity to the population of U.S. residents aged 18 or older, and pass a series of attention and bot-detection checks before treatment assignment.

Dependent Variable: Single-item trust: How much do you trust climate scientists? Scale: 0–100."
"c01_o02_t04",1,"Interview Prof. Maraun",2,"trust_post",4,"You are asked to predict the results of a real experiment involving two conditions described below. Provide your best estimate of the exact average treatment effect of Condition 2 relative to Condition 1 on the dependent variable, expressed in percentage points of the dependent variable's full scale range. You must provide exactly one signed numeric value, with no range or uncertainty. A positive value means that Condition 2 produces a higher score than Condition 1, and a negative value means that Condition 2 produces a lower score. Return the estimate in the JSON field ate_pp and provide no other information.

Condition 1: Participants read one of three randomly assigned neutral, off-topic texts about the history of neckties, the rules of baseball, or different types of dance.

Condition 2: Climate scientist Prof. Douglas Maraun at the University of Graz in Austria stresses the collaborative and self-correcting process of climate science.

Sample: Participants are recruited from a non-probability opt-in panel, quota-matched on age, gender, and race/ethnicity to the population of U.S. residents aged 18 or older, and pass a series of attention and bot-detection checks before treatment assignment.

Dependent Variable: Single-item trust: How much do you trust climate scientists? Scale: 0–100."
"c01_o02_t05",1,"Interview Prof. Maraun",2,"trust_post",5,"You are asked to predict the results of a real experiment involving two conditions described below. Provide your best estimate of the exact average treatment effect of Condition 2 relative to Condition 1 on the dependent variable, expressed in percentage points of the dependent variable's full scale range. You must provide exactly one signed numeric value, with no range or uncertainty. A positive value means that Condition 2 produces a higher score than Condition 1, and a negative value means that Condition 2 produces a lower score. Return the estimate in the JSON field ate_pp and provide no other information.

Condition 1: Participants read one of three randomly assigned neutral, off-topic texts about the history of neckties, the rules of baseball, or different types of dance.

Condition 2: Climate scientist Prof. Douglas Maraun at the University of Graz in Austria stresses the collaborative and self-correcting process of climate science.

Sample: Participants are recruited from a non-probability opt-in panel, quota-matched on age, gender, and race/ethnicity to the population of U.S. residents aged 18 or older, and pass a series of attention and bot-detection checks before treatment assignment.

Dependent Variable: Single-item trust: How much do you trust climate scientists? Scale: 0–100."
