condition_number,category,condition_title,code_name,condition_summary,source_url
1,Collaboration and peer-review,Interview Prof. Maraun,flimsy fish,Climate scientist Prof. Douglas Maraun at the University of Graz in Austria stresses the collaborative and self-correcting process of climate science.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
2,Collaboration and peer-review,Peer-review,honored haddock,What makes climate science trustworthy is the process of independent peer-review.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
3,Scientific methods and results,Measurement & modeling (1),perfect prawn,Climate scientists use sophisticated measurement and computational modeling techniques to surveil climate and predict how it changes.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
4,Scientific methods and results,Measurement & modeling (2),orchid orangutan; defiant dragonfly,"Climate scientists are primarily natural scientists (e.g., biologists, physicists). They use use sophisticated tools and quantiative methods to measure and predict climate change.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
5,Scientific methods and results,Model accuracy,apple aardvark,"This is an edited version of a real news article showcasing that even old climate models, despite some flaws, were remarkably correct in predicting global warming.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
6,Applications and impact,Extreme weather predictions,practical planarian,"Showcases how climate science predicts and helps adapting to different extreme weather events (blizzards, floods, wildfires). Takes into account a participant's state and adresses the extreme weather event most common in that state.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
7,Applications and impact,Portrait Prof. Cherry,complicated cockroach,"Todd Cherry, a scientist focused on climate issues, is integrated in his local community, and does work that is relevant for this community.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
8,Others' endorsement,Corporate reliance,giant gibbon; brick bobcat,Insurance companies and large corporations rely on climate scientists' projections.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
9,Others' endorsement,Former skeptics,limping llama; friendly frog,Former climate change skeptics Jennifer Rukavina (television meteorologist) and Bob Inglis (former Repubican congressman) explain how they came to change their mind.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
10,Values,Interview Prof. Sebille,heartfelt hummingbird,"Prof. Erik van Sebille, a climate scientist and oceanographer at Utrecht University, Netherlands, mentions harmful consequences of climate change on oceans and humans, and how he cares about preventing these consequences.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
11,Other,Consensus,jealous jaguar,"Correcting potential misperceptions on the level of agreement among climate scientists on cliamte change, and climate change related information.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
12,Other,Funding,phony parrotfish,Correcting potential misperceptions on the amount and sources of climate science funding. Showcases that climate science receives relatively little pubilc and private funding.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
13,Other,High public trust,crushing chicken; gross grasshopper; homely halibut,Correct potential misperceptions of how many Americans trusts climate scientists. A majority of Americans trusts climate scientists at least to some extent.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
14,Other,Oil industry misinformation,worse wildfowl,Oil companies have spent decades financing large propaganda campaigns to cast doubt on the existence climate change and the credibility of climate scientists.,https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
15,Other,Scientist community helpers,periwinkle partridge,"Climate scientists are members of local communities and their work helps local communities in times of cliamte disasters (e.g., floods and wildfires).",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
16,Other,Social justice,difficult dog,"In the United States, the wealthiest 10% of the population are responsible for roughly 40% of the country’s total greenhouse gas emissions. Climate scientists provide evidence to hold the emitters accountable.",https://janpfander.github.io/llm_predictions_megastudy/preregistration_benchmark.html
